Date,Oil,Coal,Gas,Elec,GSCI,VIX,STOXX,AAA,BAA,Diff_BAA_AAA,ECB_Spot_3M,eua07,eua08,eua09,eua10,eua11,eua12,eua13,eua14,eua15,eua16,eua17,eua18,eua19,eua20,eua21,eua22,eua2007_vol1,eua2007_vol2,eua2007_out,eua2008_vol1,eua2008_vol2,eua2008_out,eua2009_vol1,eua2009_vol2,eua2009_out,eua2010_vol1,eua2010_vol2,eua2010_out,eua2011_vol1,eua2011_vol2,eua2011_out,eua2012_vol1,eua2012_vol2,eua2012_out,eua2013_vol1,eua2013_vol2,eua2013_out,eua2014_vol1,eua2014_vol2,eua2014_out,eua2015_vol1,eua2015_vol2,eua2015_out,eua2016_vol1,eua2016_vol2,eua2016_out,eua2017_vol1,eua2017_vol2,eua2017_out,eua2018_vol1,eua2018_vol2,eua2018_out,eua2019_vol1,eua2019_vol2,eua2019_out,eua2020_vol1,eua2020_vol2,eua2020_out,eua2021_vol1,eua2021_vol2,eua2021_out,eua2022_vol1,eua2022_vol2,eua2022_out
20070628,70.52,79.6,10.384,36.02,485.515,15.54,391.6,5.82,6.72,0.9,3.913309,0.14,22.36,22.67,22.99,23.31,23.61,,,,,,,,,,,321,321,45443,4141,4141,46018,750,750,14346,235,235,5070,100,100,991,75,75,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070629,71.41,79.05,10.838,38.8,489.152,16.23,393.71,5.73,6.62,0.89,3.917951,0.13,22.29,22.61,23.01,23.41,23.81,,,,,,,,,,,410,410,45563,3721,3721,46163,361,361,14442,75,75,5145,100,100,991,75,75,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070702,72.63,79.05,12.338,37.6,492.027,15.4,392.23,5.71,6.6,0.89,3.903112,0.14,21.7,22.02,22.4,22.82,23.22,,,,,,,,,,,154,154,45523,2697,2697,45938,150,150,14484,55,55,5150,100,100,991,75,75,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070703,72.93,76.7,11.938,36.6,493.051,14.92,395.71,5.75,6.65,0.9,3.908735,0.13,21.16,21.49,21.89,22.29,22.71,,,,,,,,,,,120,120,45437,3978,3978,46660,1520,1520,15627,2,2,5152,27,27,983,4,4,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070704,73.05,76.6,11.863,35,493.051,14.92,397.5,5.75,6.65,0.9,3.90709,0.13,21.05,21.38,21.76,22.25,22.7,,,,,,,,,,,210,210,45437,2732,2732,47133,605,605,15713,205,205,5232,45,45,999,65,65,1671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070705,74.75,75.1,12.309,34,496.971,15.48,394.93,5.84,6.74,0.9,3.917727,0.14,21.48,21.8,22.13,22.55,22.98,,,,,,,,,,,70,70,45457,3334,3334,48211,216,216,15587,170,170,5397,57,57,1054,156,156,1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070706,75.62,75.6,14.715,34.25,500.657,14.72,397.27,5.89,6.78,0.89,3.922591,0.15,21.8,22.15,22.53,23,23.43,,,,,,,,,,,120,120,45557,1583,1583,47221,305,305,15867,87,87,5403,165,165,1169,195,195,1769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070709,75.78,75.95,15.55,34.28,499.912,15.16,398.52,5.85,6.74,0.89,3.924529,0.14,21.12,21.45,21.74,22.16,22.58,,,,,,,,,,,24,24,45581,2973,2973,47743,454,454,15908,153,153,5471,118,118,1287,120,120,1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070710,76.4,76.6,14.388,33.4,504.661,17.57,394.02,5.74,6.63,0.89,3.918913,0.14,21,21.33,21.7,22.07,22.44,,,,,,,,,,,37,37,45618,3380,3380,47416,315,315,15951,110,110,5478,1,1,1261,41,41,1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070711,75.44,76.8,15.1,32.66,503.764,16.64,392.72,5.8,6.68,0.88,3.918291,0.14,20.67,21,21.4,21.75,22.04,,,,,,,,,,,310,310,45618,7573,7573,49723,2132,2132,17697,230,230,5648,160,160,1401,800,800,2340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070712,76.4,77,15.006,33,504.7109,15.54,397.34,5.84,6.72,0.88,3.919957,0.13,19.79,20.13,20.5,20.88,21.28,,,,,,,,,,,500,500,45758,4795,4795,50806,1766,1766,19293,248,248,5725,57,57,1458,800,800,2340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070713,77.57,77.5,15.545,32,509.594,15.15,399.02,5.82,6.7,0.88,3.93802,0.13,19.89,20.21,20.63,21.02,21.4,,,,,,,,,,,25,25,45783,3842,3842,51105,297,297,19320,493,493,5718,94,94,1468,104,104,2337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070716,77.33,77.6,16.55,32.5,504.152,15.59,399.71,5.75,6.63,0.88,3.936791,0.13,18.88,19.23,19.6,19.97,20.33,,,,,,,,,,,44,44,45786,4006,4006,50963,560,560,19410,125,125,5743,25,25,1493,95,95,2357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070717,75.53,77.7,16.273,32,501.374,15.63,397.79,5.79,6.67,0.88,3.936478,0.14,19.25,19.58,19.93,20.28,20.63,,,,,,,,,,,165,165,45951,4528,4528,52430,396,396,19475,85,85,5718,25,25,1493,45,45,2374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070718,76.76,78,15.234,31.25,509.858,16,393.14,5.72,6.6,0.88,3.927167,0.13,18.91,19.28,19.65,20.05,20.46,,,,,,,,,,,275,275,46026,4252,4252,53380,566,566,19730,310,310,6008,120,120,1511,10,10,2384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070719,77.67,77.8,15.233,31.08,514.709,15.23,396.94,5.74,6.63,0.89,3.952351,0.12,19.35,19.72,20.1,20.5,20.85,,,,,,,,,,,100,100,46126,4321,4321,54187,1272,1272,20615,860,860,6698,290,290,1801,160,160,2544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070720,77.64,78.6,15.66,31.08,513.126,16.95,392.59,5.69,6.57,0.88,3.965219,0.13,19.58,19.96,20.34,20.73,21.13,,,,,,,,,,,77,77,46131,3026,3026,53859,835,835,21136,160,160,6698,100,100,1862,100,100,2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070723,76.86,78.6,16.201,30.7,505.526,16.81,394.99,5.69,6.58,0.89,3.969133,0.12,19.25,19.62,20,20.34,20.72,,,,,,,,,,,222,222,46023,4017,4017,53056,1387,1387,21556,420,420,7008,295,295,2122,660,660,2995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070724,75.08,78.6,15.773,30.4,499.692,18.55,388.94,5.69,6.59,0.9,3.98831,0.12,19.3,19.69,20.09,20.46,20.84,,,,,,,,,,,106,106,45943,3840,3840,52361,455,455,21856,257,257,7255,200,200,2322,242,242,3195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070725,76.32,78.6,15.11,30.5,505.809,18.1,385.5,5.66,6.57,0.91,3.996873,0.12,19.98,20.38,20.75,21.13,21.5,,,,,,,,,,,100,100,45943,4656,4656,53270,1100,1100,22377,50,50,7255,10,10,2321,960,960,4155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070726,75.18,78.25,15.256,30,502.496,20.74,374.56,5.57,6.62,1.05,3.991654,0.12,20.07,20.48,20.84,21.26,21.59,,,,,,,,,,,120,120,45943,5446,5446,53776,544,544,22708,105,105,7347,82,82,2403,20,20,4175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070727,76.26,78.25,15.475,29.6,509.651,24.17,372.69,5.58,6.67,1.09,3.969458,0.12,20.3,20.68,21,21.42,21.79,,,,,,,,,,,160,160,45883,3469,3469,51626,808,808,23278,170,170,7367,100,100,2403,325,325,4450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070730,75.74,80.2,16.334,29.31,509.988,20.87,372.03,5.65,6.7,1.05,3.976844,0.11,20.85,21.24,21.63,22.02,22.41,,,,,,,,,,,70,70,45953,3443,3443,52148,570,570,23838,5,5,7362,100,100,2403,325,325,4450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070731,77.05,81.4,15.495,30.9,515.941,23.52,380.07,5.62,6.63,1.01,3.984455,0.12,21.15,21.54,21.92,22.3,22.68,,,,,,,,,,,5,5,45948,5128,5128,52562,979,979,24173,260,260,7362,410,410,2634,985,985,5415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070801,75.35,82.25,14.88,29,508.944,23.67,374.16,5.61,6.62,1.01,3.979556,0.11,20.46,20.9,21.26,21.65,22.07,,,,,,,,,,,57,57,46003,5861,5861,54693,200,200,24337,25,25,7387,45,45,2659,1520,1520,5781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070802,75.76,82.8,14.878,29.6,508.865,21.22,376.93,5.6,6.6,1,3.979403,0.09,20.7,21.11,21.48,21.88,22.3,,,,,,,,,,,210,210,46003,2265,2265,55121,1503,1503,24696,141,141,7412,85,85,2699,1050,1050,6831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070803,74.75,84.4,14.246,29.65,503.224,25.16,372.03,5.67,6.57,0.9,4.001526,0.09,20.39,20.81,21.21,21.59,22.02,,,,,,,,,,,210,210,46003,2080,2080,55594,455,455,24726,117,117,7412,150,150,2849,25,25,6830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070806,71.17,85.25,13.63,29.6,489.129,22.94,368.64,5.71,6.61,0.9,3.983375,0.09,19.6,20.02,20.42,20.82,21.23,,,,,,,,,,,15,15,45988,4301,4301,55465,393,393,25026,145,145,7307,150,150,2849,155,155,6810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070807,71.8,84.5,13.28,29.3,491.33,21.56,373.62,5.7,6.6,0.9,3.994163,0.09,20.05,20.44,20.84,21.24,21.64,,,,,,,,,,,500,500,46488,3946,3946,53545,719,719,25144,50,50,7297,150,150,2849,540,540,7040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070808,70.99,85.15,13.463,29.9,490.834,21.45,381.05,5.83,6.71,0.88,4.01336,0.1,19.91,20.32,20.74,21.14,21.55,,,,,,,,,,,205,205,46688,3589,3589,53820,70,70,25204,290,290,7567,95,95,2923,85,85,7050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070809,70.21,85.5,14.056,29.8,489.493,26.48,374.27,5.83,6.7,0.87,4.01725,0.1,19.65,20.08,20.48,20.89,21.3,,,,,,,,,,,50,50,46688,2732,2732,53748,340,340,24981,65,65,7607,30,30,2953,60,60,7080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070810,70.39,86.2,14.034,30.5,489.818,28.3,362.77,5.82,6.69,0.87,3.987397,0.1,19.06,19.49,19.87,20.27,20.68,,,,,,,,,,,620,620,47087,2709,2709,53939,255,255,23606,64,64,7651,30,30,2953,60,60,7080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070813,70.23,86.3,14.154,30,491.466,26.57,370.91,5.82,6.69,0.87,3.99995,0.1,19.6,20,20.37,20.78,21.2,,,,,,,,,,,100,100,47187,1890,1890,53654,155,155,23591,64,64,7651,30,30,2953,15,15,7095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070814,70.51,86,14.715,30.06,493.101,27.68,366.34,5.8,6.68,0.88,3.99763,0.11,19.4,19.86,20.29,20.69,21.15,,,,,,,,,,,25,25,47187,1824,1824,54008,370,370,23667,140,140,7781,100,100,3053,10,10,7095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070815,71.64,86.25,14.938,29.65,496.961,30.67,365.36,5.89,6.72,0.83,3.992546,0.11,19.65,20.13,20.58,21.01,21.5,,,,,,,,,,,420,420,47607,2674,2674,53964,275,275,23662,170,170,7797,35,35,2968,435,435,7315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070816,69.42,86.5,15.049,29.75,481.953,30.83,352.37,5.84,6.66,0.82,3.991854,0.11,19.29,19.77,20.24,20.73,21.24,,,,,,,,,,,15,15,47592,3457,3457,53770,100,100,23642,100,100,7807,35,35,2968,360,360,7675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070817,70.44,85.5,15.064,30.05,489.071,29.99,359.98,5.91,6.75,0.84,3.936942,0.11,19.4,19.9,20.37,20.85,21.36,,,,,,,,,,,15,15,47592,2172,2172,53889,67,67,23659,135,135,7755,35,35,2968,190,190,7700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070820,69.85,85.5,14.237,29.5,480.809,26.33,362.33,5.88,6.72,0.84,3.932641,0.11,19.2,19.77,20.24,20.74,21.25,,,,,,,,,,,384,384,47976,1068,1068,53695,70,70,23634,40,40,7775,15,15,2973,35,35,7700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070821,68.69,84.5,13.98,29.3,475.287,25.25,362.39,5.85,6.69,0.84,3.891035,0.11,19.18,19.81,20.42,21.01,21.6,,,,,,,,,,,567,567,48353,2487,2487,53281,1064,1064,23363,535,535,7625,35,35,2903,35,35,7685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070822,68.7,86,13.961,29.2,475.456,22.89,368.62,5.87,6.7,0.83,3.910445,0.11,18.63,19.3,19.94,20.59,21.23,,,,,,,,,,,84,84,48417,4215,4215,54097,1184,1184,23920,195,195,7735,125,125,3028,165,165,7655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070823,69.86,86,14.065,29.69,479.972,22.62,369.33,5.83,6.66,0.83,3.97779,0.11,18.81,19.49,20.17,20.9,21.62,,,,,,,,,,,84,84,48417,3072,3072,54114,247,247,24055,410,410,7942,85,85,3103,275,275,7625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070824,70.62,86,14.109,29,485.235,20.72,370.52,5.81,6.64,0.83,3.924146,0.11,18.63,19.3,19.99,20.71,21.44,,,,,,,,,,,209,209,48426,1797,1797,54160,186,186,24107,90,90,7922,70,70,3153,120,120,7685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070827,70.95,86.6,14.113,29.2,486.476,22.72,371.09,5.76,6.6,0.84,3.928996,0.11,18.4,19.05,19.75,20.45,21.2,,,,,,,,,,,209,209,48426,623,623,54113,41,41,24108,5,5,7922,5,5,3153,65,65,7685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070828,70.55,87.9,14.386,29.25,485.596,26.3,364.66,5.76,6.6,0.84,3.916861,0.11,19.38,20,20.66,21.32,21.97,,,,,,,,,,,418,418,48494,4293,4293,55203,425,425,24403,470,470,7792,100,100,3178,380,380,7755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070829,72.13,87.3,14.316,29.3,492.353,23.81,366.81,5.8,6.62,0.82,3.890108,0.1,19.93,20.53,21.02,21.67,22.39,,,,,,,,,,,115,115,48609,4655,4655,55616,816,816,24627,380,380,7940,235,235,3248,115,115,7712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070830,71.9,88.1,14.074,29.31,493.016,25.06,370.99,5.76,6.58,0.82,3.897012,0.11,19.4,19.99,20.59,21.16,21.75,,,,,,,,,,,195,195,48804,5140,5140,56615,367,367,24773,545,545,8075,125,125,3248,125,125,7742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070831,72.69,89,14.309,32.5,495.304,23.38,375.94,5.76,6.59,0.83,3.8815,0.1,19.4,19.98,20.59,21.19,21.78,,,,,,,,,,,26,26,48804,2324,2324,57012,161,161,24689,115,115,7990,85,85,3283,110,110,7792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070903,73.41,89.6,14.413,32.23,495.304,23.38,376.99,5.76,6.59,0.83,3.891671,0.1,19.77,20.37,20.97,21.57,22.17,,,,,,,,,,,59,59,48845,1999,1999,56944,45,45,24709,190,190,7985,85,85,3283,80,80,7872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070904,73.92,90.85,14.68,31.5,501.27,22.78,379.47,5.77,6.6,0.83,3.903939,0.1,20.91,21.5,22.09,22.68,23.27,,,,,,,,,,,114,114,48845,3404,3404,56611,182,182,24823,60,60,8010,130,130,3333,165,165,7837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070905,74.34,91,14.73,31.6,503.844,24.58,372.66,5.73,6.54,0.81,3.938046,0.1,20.25,20.85,21.45,22.05,22.65,,,,,,,,,,,114,114,48845,4724,4724,56820,305,305,25027,325,325,7935,570,570,3833,35,35,7797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070906,74.77,92,14.633,31.7,506.197,23.99,373.84,5.74,6.57,0.83,3.92671,0.1,20.53,21.13,21.73,22.33,22.93,,,,,,,,,,,100,100,48895,4683,4683,57709,110,110,25027,140,140,8075,40,40,3873,245,245,7962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070907,75.07,92.5,14.929,31.8,507.454,26.23,365.58,5.66,6.48,0.82,3.926769,0.1,20.47,21.07,21.67,22.27,22.87,,,,,,,,,,,41,41,48935,2082,2082,55007,140,140,25067,105,105,8075,40,40,3793,20,20,7937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070910,75.48,91.75,16.59,31.6,513.169,27.38,362.23,5.61,6.47,0.86,3.920117,0.09,20.31,20.91,21.51,22.11,22.71,,,,,,,,,,,41,41,48935,2364,2364,55046,100,100,25037,60,60,8135,50,50,3838,65,65,7927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070911,76.38,91.5,16.371,32,519.199,25.27,368.41,5.62,6.48,0.86,3.922693,0.08,20.76,21.37,21.97,22.57,23.17,,,,,,,,,,,53,53,48861,3247,3247,55169,80,80,25052,129,129,8144,10,10,3838,197,197,7954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070912,77.68,91.5,17.223,32.5,527.756,24.96,369.23,5.66,6.54,0.88,3.912748,0.09,21.1,21.7,22.3,22.9,23.5,,,,,,,,,,,3,3,48864,3482,3482,55732,125,125,25052,95,95,8214,87,87,3925,25,25,7954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070913,77.4,91.5,16.7,32.75,527.033,24.76,372.21,5.71,6.61,0.9,3.901078,0.07,20.53,21.14,21.73,22.35,22.92,,,,,,,,,,,150,150,48864,3435,3435,55831,140,140,25027,115,115,8224,60,60,3985,35,35,7944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070914,76.22,91.35,17.073,32.95,526.266,24.92,367.75,5.69,6.59,0.9,3.88498,0.07,20.7,21.29,21.87,22.46,23.05,,,,,,,,,,,264,264,48928,3082,3082,56495,45,45,24992,215,215,8089,25,25,3985,335,335,8169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070917,76.98,92.5,16.394,33.1,533.121,26.48,362.18,5.68,6.58,0.9,3.887496,0.07,20.54,21.1,21.67,22.23,22.8,,,,,,,,,,,55,55,48768,2803,2803,56575,135,135,24982,35,35,8114,15,15,4000,400,400,8569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070918,77.59,92.75,16.347,33.5,536.265,20.35,367.67,5.73,6.61,0.88,3.89391,0.06,20.8,21.3,21.8,22.35,22.9,,,,,,,,,,,176,176,48554,2614,2614,56984,214,214,25000,30,30,8144,15,15,4000,20,20,8577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070919,78.47,92.75,16.686,33.35,539.248,20.03,377.53,5.77,6.64,0.87,3.866566,0.08,21.28,21.76,22.26,22.75,23.3,,,,,,,,,,,91,91,48533,4243,4243,57791,362,362,25048,135,135,8209,100,100,4060,185,185,8644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070920,79.09,94,17.021,33.43,543.608,20.45,374.95,5.88,6.73,0.85,3.847618,0.08,21.77,22.22,22.67,23.12,23.57,,,,,,,,,,,660,660,49193,3788,3788,58270,40,40,25023,105,105,8224,50,50,4100,20,20,8559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070921,79.3,96,18.409,33.48,544.566,19,376.74,5.81,6.67,0.86,3.857593,0.08,21.75,22.2,22.75,23.25,23.75,,,,,,,,,,,870,870,49423,3909,3909,59619,600,600,25169,450,450,8484,100,100,4100,280,280,8559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070924,78.91,94.75,18.9,33.8,544.037,19.37,376.55,5.8,6.65,0.85,3.864299,0.08,21.75,22.24,22.73,23.22,23.71,,,,,,,,,,,100,100,49523,2851,2851,60686,20,20,25029,115,115,8384,15,15,4115,280,280,8509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070925,77.62,94.75,18.006,34.6,537.448,18.6,372.4,5.81,6.65,0.84,3.879322,0.08,21.39,21.86,22.34,22.83,23.32,,,,,,,,,,,3,3,49526,5333,5333,59797,90,90,24979,160,160,8419,85,85,4125,1311,1311,9199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070926,77.43,94.75,17.156,34.75,539.639,17.63,375.03,5.82,6.66,0.84,3.863672,0.08,21.3,21.77,22.23,22.7,23.17,,,,,,,,,,,400,400,49876,4146,4146,60022,130,130,24959,316,316,8547,50,50,4150,750,750,9617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070927,80.03,95.5,16.853,34.94,551.491,17,377.96,5.76,6.59,0.83,3.844136,0.08,21.6,22.06,22.54,23,23.47,,,,,,,,,,,325,325,49973,3952,3952,61384,483,483,25016,910,910,9142,1330,1330,4350,1316,1316,9344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20070928,79.17,95.6,20.483,39.88,546.133,18,377.86,5.76,6.59,0.83,3.828812,0.08,21.68,22.13,22.58,23.04,23.63,,,,,,,,,,,33,33,49996,2611,2611,62483,135,135,25011,50,50,9152,175,175,4475,715,715,9403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20071001,77.64,102.7,21.182,41.5,540.728,17.84,380.86,5.72,6.55,0.83,3.818167,0.07,21.6,22.1,22.58,23.06,23.6,,,,,,,,,,,,25,,3790,3790,64055,440,440,25086,25,25,9177,180,180,4475,1545,1545,10453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20071002,77.38,102.2,21.769,44.5,537.935,18.49,382.78,5.71,6.54,0.83,3.830471,0.08,21.7,22.2,22.72,23.2,23.85,,,,,,,,,,,,25,,6444,6444,65564,653,653,25196,375,375,9323,645,645,4703,3166,3166,12461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20071003,77.19,101.5,20.737,44.5,537.893,18.8,383.59,5.72,6.54,0.82,3.804319,0.07,21.38,21.91,22.46,22.98,23.6,,,,,,,,,,,,3,,3479,3479,65817,225,225,25191,339,339,9534,1335,1335,5400,985,985,12876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20071004,78.97,102,20.595,45.95,543.508,18.44,384.18,5.67,6.51,0.84,3.8083,0.07,21.56,22.14,22.71,23.25,24.01,,,,,,,,,,,,26,,3336,3336,66067,335,335,25306,170,170,9704,375,375,5621,975,975,13541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20071005,78.9,103.5,20.867,46.15,541.592,16.91,386.93,5.78,6.59,0.81,3.821624,0.11,21.52,22.11,22.7,23.3,24.07,,,,,,,,,,,,30,,2080,2080,66626,500,500,25146,270,270,9854,235,235,5641,405,405,13631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20071008,76.58,105.75,20.753,47.46,528.607,17.46,385.86,5.78,6.59,0.81,3.816278,0.07,21.67,22.21,22.78,23.34,23.97,,,,,,,,,,,,30,,1466,1466,66745,145,145,25121,205,205,9924,100,100,5661,130,130,13616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
